"Position","Nation","PlayerName","Team"
"GK","ENG","Aaron Ramsdale","Arsenal"
"DF","FRA","William Saliba","Arsenal"
"DF","ENG","Ben White","Arsenal"
"MF","GHA","Thomas Partey","Arsenal"
"DF","BRA","Gabriel","Arsenal"
"FW","ENG","Bukayo Saka","Arsenal"
"MF","NOR","Martin Ødegaard (captain)","Arsenal"
"FW","BRA","Gabriel Jesus","Arsenal"
"MF","ENG","Emile Smith Rowe","Arsenal"
"FW","BRA","Gabriel Martinelli","Arsenal"
"DF","NED","Jurriën Timber","Arsenal"
"FW","ENG","Eddie Nketiah","Arsenal"
"DF","POL","Jakub Kiwior","Arsenal"
"DF","POR","Cédric Soares","Arsenal"
"DF","JPN","Takehiro Tomiyasu","Arsenal"
"FW","BEL","Leandro Trossard","Arsenal"
"MF","ITA","Jorginho","Arsenal"
"MF","POR","Fábio Vieira","Arsenal"
"GK","ESP","David Raya (on loan from Brentford)","Arsenal"
"FW","ENG","Reiss Nelson","Arsenal"
"MF","EGY","Mohamed Elneny","Arsenal"
"MF","GER","Kai Havertz","Arsenal"
"GK","EST","Karl Hein","Arsenal"
"DF","UKR","Oleksandr Zinchenko","Arsenal"
"MF","ENG","Declan Rice","Arsenal"
"DF","ENG","Kyle Walker (Senior leader)","ManchesterCity"
"DF","POR","Rúben Dias (Senior leader)","ManchesterCity"
"MF","ENG","Kalvin Phillips","ManchesterCity"
"DF","ENG","John Stones","ManchesterCity"
"DF","NED","Nathan Aké","ManchesterCity"
"MF","CRO","Mateo Kovačić","ManchesterCity"
"FW","NOR","Erling Haaland","ManchesterCity"
"MF","ENG","Jack Grealish","ManchesterCity"
"MF","BEL","Jérémy Doku","ManchesterCity"
"MF","ESP","Rodri (Senior leader)","ManchesterCity"
"MF","BEL","Kevin De Bruyne (Senior leader)","ManchesterCity"
"GK","GER","Stefan Ortega","ManchesterCity"
"FW","ARG","Julián Álvarez","ManchesterCity"
"MF","POR","Bernardo Silva (Senior leader)","ManchesterCity"
"DF","ESP","Sergio Gómez","ManchesterCity"
"DF","CRO","Joško Gvardiol","ManchesterCity"
"DF","SUI","Manuel Akanji","ManchesterCity"
"MF","POR","Matheus Nunes","ManchesterCity"
"GK","BRA","Ederson","ManchesterCity"
"GK","ENG","Scott Carson","ManchesterCity"
"MF","ENG","Phil Foden","ManchesterCity"
